YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,1,1,1,1/1/2024 0:00,AA,19805,326,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,1332,1351,19,19,1,1714,47,47,1,143,87,1,599,0,0,28,0,19
2024,1,1,1,1/1/2024 0:00,AA,19805,335,ORD,"Chicago, IL",IL,Illinois,PHX,"Phoenix, AZ",Arizona,0840,0835,-5,0,0,1108,-37,0,0,213,197,1,1440,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,353,ORD,"Chicago, IL",IL,Illinois,TPA,"Tampa, FL",Florida,1845,1838,-7,0,0,2159,-30,0,0,141,119,1,1012,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,370,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,0500,0456,-4,0,0,0713,-22,0,0,137,116,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,388,ORD,"Chicago, IL",IL,Illinois,SJU,"San Juan, PR",Puerto Rico,0819,0813,-6,0,0,1433,-16,0,0,260,243,1,2072,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,407,ORD,"Chicago, IL",IL,Illinois,BOS,"Boston, MA",Massachusetts,1855,1847,-8,0,0,2222,9,9,0,155,124,1,867,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,431,ORD,"Chicago, IL",IL,Illinois,SAT,"San Antonio, TX",Texas,2053,2051,-2,0,0,2339,-13,0,0,168,146,1,1041,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,441,ORD,"Chicago, IL",IL,Illinois,SRQ,"Sarasota/Bradenton, FL",Florida,0843,0839,-4,0,0,1213,-19,0,0,154,136,1,1050,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,471,ORD,"Chicago, IL",IL,Illinois,PHL,"Philadelphia, PA",Pennsylvania,0830,0827,-3,0,0,1120,-6,0,0,113,96,1,678,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,481,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1006,1002,-4,0,0,1229,-16,0,0,147,109,1,802,,,,,
